[ 18:42:12 114.107.15.92 run  数据抓取] 最新数据2016-03-28，今天没有更新 [3120]
[ 19:10:02 114.107.15.92 run  数据抓取] 莆田2016-03-28:114 [3120]
[ 19:10:03 101.226.66.172 run  数据抓取] 泉州2016-03-28:114 [3120]
[ 19:10:04 101.226.66.172 run  数据抓取] 三明2016-03-28:114 [3120]
[ 19:10:05 114.107.15.92 run  数据抓取] 泉州2016-03-28:114 [3120]
[ 19:10:05 114.107.15.92 run  数据抓取] 会东牲畜2016-03-28:114 [3120]
[ 19:10:05 114.107.15.92 run  数据抓取] 鹤岗万圃源2016-03-28:114 [3120]
[ 19:10:07 114.107.15.92 run  数据抓取] 呼玛综合2016-03-28:114 [3120]
[ 19:10:07 114.107.15.92 run  数据抓取] 江油仔猪2016-03-28:114 [3120]
[ 19:10:08 114.107.15.92 run  数据抓取] 三明2016-03-28:114 [3120]
[ 19:10:08 101.226.66.172 run  数据抓取] 厦门2016-03-28:114 [3120]
[ 19:10:10 114.107.15.92 run  数据抓取] 九襄2016-03-28:114 [3120]
[ 19:10:10 114.107.15.92 run  数据抓取] 厦门2016-03-28:114 [3120]
[ 19:10:10 101.226.66.172 run  数据抓取] 同安闽南2016-03-28:114 [3120]
[ 19:10:12 114.107.15.92 run  数据抓取] 泸州仔猪2016-03-28:114 [3120]
[ 19:10:12 101.226.66.172 run  数据抓取] 漳州2016-03-28:114 [3120]
[ 19:10:13 101.226.66.172 run  数据抓取] 靖远2016-03-28:114 [3120]
[ 19:10:14 114.107.15.92 run  数据抓取] 绵阳高水2016-03-28:114 [3120]
[ 19:10:15 114.107.15.92 run  数据抓取] 西昌广平2016-03-28:114 [3120]
[ 19:10:15 101.226.66.172 run  数据抓取] 酒泉春光2016-03-28:114 [3120]
[ 19:10:16 114.107.15.92 run  数据抓取] 天津北辰韩家墅2016-03-28:114 [3120]
[ 19:10:17 114.107.15.92 run  数据抓取] 同安闽南2016-03-28:114 [3120]
[ 19:10:17 101.226.66.172 run  数据抓取] 兰州大青山2016-03-28:114 [3120]
[ 19:10:18 114.107.15.92 run  数据抓取] 漳州2016-03-28:114 [3120]
[ 19:10:19 114.107.15.92 run  数据抓取] 天津东丽金钟2016-03-28:114 [3120]
[ 19:10:19 101.226.66.172 run  数据抓取] 陇西清吉2016-03-28:114 [3120]
[ 19:10:20 114.107.15.92 run  数据抓取] 虎林农贸2016-03-28:114 [3120]
[ 19:10:21 101.226.66.172 run  数据抓取] 天水瀛池2016-03-28:114 [3120]
[ 19:10:21 114.107.15.92 run  数据抓取] 靖远2016-03-28:114 [3120]
[ 19:10:22 114.107.15.92 run  数据抓取] 鸡东世纪村2016-03-28:114 [3120]
[ 19:10:22 114.107.15.92 run  数据抓取] 天津津南何庄子2016-03-28:114 [3120]
[ 19:10:24 114.107.15.92 run  数据抓取] 天津武清大沙河2016-03-28:114 [3120]
[ 19:10:24 114.107.15.92 run  数据抓取] 酒泉春光2016-03-28:114 [3120]
[ 19:10:24 114.107.15.92 run  数据抓取] 鸡西南山2016-03-28:114 [3120]
[ 19:10:26 114.107.15.92 run  数据抓取] 佳木斯沿江2016-03-28:114 [3120]
[ 19:10:26 114.107.15.92 run  数据抓取] 兰州大青山2016-03-28:114 [3120]
[ 19:10:27 114.107.15.92 run  数据抓取] 天津西青当城2016-03-28:114 [3120]
[ 19:10:28 101.226.66.172 run  数据抓取] 武山2016-03-28:114 [3120]
[ 19:10:28 114.107.15.92 run  数据抓取] 萝北中央红大兴超市2016-03-28:114 [3120]
[ 19:10:29 114.107.15.92 run  数据抓取] 陇西清吉2016-03-28:114 [3120]
[ 19:10:29 114.107.15.92 run  数据抓取] 天津西青红旗2016-03-28:114 [3120]
[ 19:10:30 101.226.66.172 run  数据抓取] 东莞大京九2016-03-28:114 [3120]
[ 19:10:31 114.107.15.92 run  数据抓取] 漠河北锤2016-03-28:114 [3120]
[ 19:10:31 101.226.66.172 run  数据抓取] 广州江南2016-03-28:114 [3120]
[ 19:10:32 114.107.15.92 run  数据抓取] 天水瀛池2016-03-28:114 [3120]
[ 19:10:32 114.107.15.92 run  数据抓取] 阿勒泰四季青2016-03-28:114 [3120]
[ 19:10:34 101.226.66.172 run  数据抓取] 惠州农产品物流中心2016-03-28:114 [3120]
[ 19:10:34 114.107.15.92 run  数据抓取] 七星街2016-03-28:114 [3120]
[ 19:10:35 114.107.15.92 run  数据抓取] 兵团农二师库尔勒孔雀2016-03-28:114 [3120]
[ 19:10:35 114.107.15.92 run  数据抓取] 武山2016-03-28:114 [3120]
[ 19:10:36 114.107.15.92 run  数据抓取] 绥化华辰2016-03-28:114 [3120]
[ 19:10:37 101.226.66.172 run  数据抓取] 江门水产2016-03-28:114 [3120]
[ 19:10:37 114.107.15.92 run  数据抓取] 东莞大京九2016-03-28:114 [3120]
[ 19:10:38 114.107.15.92 run  数据抓取] 兵团农五师三和2016-03-28:114 [3120]
[ 19:10:39 114.107.15.92 run  数据抓取] 广州江南2016-03-28:114 [3120]
[ 19:10:40 114.107.15.92 run  数据抓取] 博乐三和2016-03-28:114 [3120]
[ 19:10:40 101.226.66.172 run  数据抓取] 江门水果2016-03-28:114 [3120]
[ 19:10:40 114.107.15.92 run  数据抓取] 泰来综合2016-03-28:114 [3120]
[ 19:10:42 101.226.66.172 run  数据抓取] 汕头2016-03-28:114 [3120]
[ 19:10:42 114.107.15.92 run  数据抓取] 惠州农产品物流中心2016-03-28:114 [3120]
[ 19:10:43 114.107.15.92 run  数据抓取] 望奎华辰2016-03-28:114 [3120]
[ 19:10:43 114.107.15.92 run  数据抓取] 昌吉通汇2016-03-28:114 [3120]
[ 19:10:45 101.226.66.172 run  数据抓取] 深圳南山批发2016-03-28:114 [3120]
[ 19:10:45 114.107.15.92 run  数据抓取] 喀什解放南路2016-03-28:114 [3120]
[ 19:10:45 114.107.15.92 run  数据抓取] 江门水产2016-03-28:114 [3120]
[ 19:10:46 114.107.15.92 run  数据抓取] 逊克综合大市场2016-03-28:114 [3120]
[ 19:10:47 101.226.66.172 run  数据抓取] 南宁五里亭2016-03-28:114 [3120]
[ 19:10:48 114.107.15.92 run  数据抓取] 江门水果2016-03-28:114 [3120]
[ 19:10:48 114.107.15.92 run  数据抓取] 肇州农贸2016-03-28:114 [3120]
[ 19:10:49 114.107.15.92 run  数据抓取] 克拉玛依农副2016-03-28:114 [3120]
[ 19:10:50 114.107.15.92 run  数据抓取] 克州博格拉2016-03-28:114 [3120]
[ 19:10:50 114.107.15.92 run  数据抓取] 汕头2016-03-28:114 [3120]
[ 19:10:51 114.107.15.92 run  数据抓取] 鄂州蟠龙2016-03-28:114 [3120]
[ 19:10:51 101.226.66.172 run  数据抓取] 田阳2016-03-28:114 [3120]
[ 19:10:53 114.107.15.92 run  数据抓取] 石河子农产品交易中心2016-03-28:114 [3120]
[ 19:10:53 101.226.66.172 run  数据抓取] 玉屏2016-03-28:114 [3120]
[ 19:10:54 114.107.15.92 run  数据抓取] 深圳南山批发2016-03-28:114 [3120]
[ 19:10:54 114.107.15.92 run  数据抓取] 洪湖2016-03-28:114 [3120]
[ 19:10:56 101.226.66.172 run  数据抓取] 遵义虾子辣椒2016-03-28:114 [3120]
[ 19:10:56 114.107.15.92 run  数据抓取] 黄石农产品2016-03-28:114 [3120]
[ 19:10:56 114.107.15.92 run  数据抓取] 石河子农产品交易中心2016-03-28:114 [3120]
[ 19:10:57 114.107.15.92 run  数据抓取] 南宁五里亭2016-03-28:114 [3120]
[ 19:10:58 114.107.15.92 run  数据抓取] 田阳2016-03-28:114 [3120]
[ 19:10:59 114.107.15.92 run  数据抓取] 十堰堰中2016-03-28:114 [3120]
[ 19:10:59 114.107.15.92 run  数据抓取] 吐鲁番天马家园2016-03-28:114 [3120]
[ 19:11:00 114.107.15.92 run  数据抓取] 玉屏2016-03-28:114 [3120]
[ 19:11:01 114.107.15.92 run  数据抓取] 乌尔禾2016-03-28:114 [3120]
[ 19:11:01 114.107.15.92 run  数据抓取] 武汉白沙洲2016-03-28:114 [3120]
[ 19:11:02 101.226.66.172 run  数据抓取] 保定批发2016-03-28:114 [3120]
[ 19:11:03 114.107.15.92 run  数据抓取] 乌鲁木齐北园春2016-03-28:114 [3120]
[ 19:11:03 114.107.15.92 run  数据抓取] 武汉皇经堂2016-03-28:114 [3120]
[ 19:11:04 101.226.66.172 run  数据抓取] 沧州红枣2016-03-28:114 [3120]
[ 19:11:04 114.107.15.92 run  数据抓取] 遵义虾子辣椒2016-03-28:114 [3120]
[ 19:11:06 114.107.15.92 run  数据抓取] 浠水2016-03-28:114 [3120]
[ 19:11:06 101.226.66.172 run  数据抓取] 馆陶金凤2016-03-28:114 [3120]
[ 19:11:06 114.107.15.92 run  数据抓取] 乌鲁木齐凌庆2016-03-28:114 [3120]
[ 19:11:07 114.107.15.92 run  数据抓取] 保定批发2016-03-28:114 [3120]
[ 19:11:08 101.226.66.172 run  数据抓取] 怀来京西2016-03-28:114 [3120]
[ 19:11:09 114.107.15.92 run  数据抓取] 襄阳批发2016-03-28:114 [3120]
[ 19:11:09 114.107.15.92 run  数据抓取] 乌鲁木齐天鹰2016-03-28:114 [3120]
[ 19:11:10 114.107.15.92 run  数据抓取] 沧州红枣2016-03-28:114 [3120]
[ 19:11:11 114.107.15.92 run  数据抓取] 馆陶金凤2016-03-28:114 [3120]
[ 19:11:11 114.107.15.92 run  数据抓取] 孝感南大2016-03-28:114 [3120]
[ 19:11:12 101.226.66.172 run  数据抓取] 乐亭冀东2016-03-28:114 [3120]
[ 19:11:12 114.107.15.92 run  数据抓取] 乌鲁木齐通汇2016-03-28:114 [3120]
[ 19:11:14 114.107.15.92 run  数据抓取] 宜昌金桥2016-03-28:114 [3120]
[ 19:11:14 114.107.15.92 run  数据抓取] 怀来京西2016-03-28:114 [3120]
[ 19:11:15 101.226.66.172 run  数据抓取] 秦皇岛昌黎批发2016-03-28:114 [3120]
[ 19:11:15 114.107.15.92 run  数据抓取] 焉耆光明2016-03-28:114 [3120]
[ 19:11:16 101.226.66.172 run  数据抓取] 秦皇岛海阳2016-03-28:114 [3120]
[ 19:11:17 114.107.15.92 run  数据抓取] 乐亭冀东2016-03-28:114 [3120]
[ 19:11:17 114.107.15.92 run  数据抓取] 长沙马王堆2016-03-28:114 [3120]
[ 19:11:19 114.107.15.92 run  数据抓取] 秦皇岛昌黎批发2016-03-28:114 [3120]
[ 19:11:19 114.107.15.92 run  数据抓取] 常德甘露寺2016-03-28:114 [3120]
[ 19:11:20 114.107.15.92 run  数据抓取] 秦皇岛海阳2016-03-28:114 [3120]
[ 19:11:21 114.107.15.92 run  数据抓取] 饶阳2016-03-28:114 [3120]
[ 19:11:22 101.226.66.172 run  数据抓取] 饶阳2016-03-28:114 [3120]
[ 19:11:22 114.107.15.92 run  数据抓取] 伊犁66团2016-03-28:114 [3120]
[ 19:11:23 114.107.15.92 run  数据抓取] 三河2016-03-28:114 [3120]
[ 19:11:23 114.107.15.92 run  数据抓取] 衡阳西园2016-03-28:114 [3120]
[ 19:11:24 114.107.15.92 run  数据抓取] 红星2016-03-28:114 [3120]
[ 19:11:25 114.107.15.92 run  数据抓取] 石家庄桥西批发2016-03-28:114 [3120]
[ 19:11:25 114.107.15.92 run  数据抓取] 伊宁天山街2016-03-28:114 [3120]
[ 19:11:26 114.107.15.92 run  数据抓取] 昆明呈贡2016-03-28:114 [3120]
[ 19:11:27 114.107.15.92 run  数据抓取] 吉首2016-03-28:114 [3120]
[ 19:11:27 114.107.15.92 run  数据抓取] 唐山荷花坑2016-03-28:114 [3120]
[ 19:11:28 101.226.66.172 run  数据抓取] 三河2016-03-28:114 [3120]
[ 19:11:29 114.107.15.92 run  数据抓取] 威县瓜菜2016-03-28:114 [3120]
[ 19:11:29 101.226.66.172 run  数据抓取] 石家庄桥西批发2016-03-28:114 [3120]
[ 19:11:30 114.107.15.92 run  数据抓取] 益阳团洲2016-03-28:114 [3120]
[ 19:11:31 114.107.15.92 run  数据抓取] 魏县天仙2016-03-28:114 [3120]
[ 19:11:32 101.226.66.172 run  数据抓取] 唐山荷花坑2016-03-28:114 [3120]
[ 19:11:32 114.107.15.92 run  数据抓取] 岳阳花板桥2016-03-28:114 [3120]
[ 19:11:33 114.107.15.92 run  数据抓取] 安阳批发2016-03-28:114 [3120]
[ 19:11:34 101.226.66.172 run  数据抓取] 威县瓜菜2016-03-28:114 [3120]
[ 19:11:34 114.107.15.92 run  数据抓取] 辽源贸发2016-03-28:114 [3120]
[ 19:11:35 114.107.15.92 run  数据抓取] 昆明王旗营2016-03-28:114 [3120]
[ 19:11:36 114.107.15.92 run  数据抓取] 南阳果品2016-03-28:114 [3120]
[ 19:11:36 114.107.15.92 run  数据抓取] 常州2016-03-28:114 [3120]
[ 19:11:37 114.107.15.92 run  数据抓取] 通海2016-03-28:114 [3120]
[ 19:11:37 101.226.66.172 run  数据抓取] 魏县天仙2016-03-28:114 [3120]
[ 19:11:39 114.107.15.92 run  数据抓取] 常州凌家塘2016-03-28:114 [3120]
[ 19:11:39 101.226.66.172 run  数据抓取] 安阳批发2016-03-28:114 [3120]
[ 19:11:40 114.107.15.92 run  数据抓取] 杭州良渚2016-03-28:114 [3120]
[ 19:11:40 114.107.15.92 run  数据抓取] 濮阳批发2016-03-28:114 [3120]
[ 19:11:41 114.107.15.92 run  数据抓取] 丰县2016-03-28:114 [3120]
[ 19:11:42 101.226.66.172 run  数据抓取] 南阳果品2016-03-28:114 [3120]
[ 19:11:42 114.107.15.92 run  数据抓取] 三门峡原店2016-03-28:114 [3120]
[ 19:11:43 114.107.15.92 run  数据抓取] 杭州农产品2016-03-28:114 [3120]
[ 19:11:44 114.107.15.92 run  数据抓取] 嘉善曹安2016-03-28:114 [3120]
[ 19:11:45 101.226.66.172 run  数据抓取] 濮阳批发2016-03-28:114 [3120]
[ 19:11:45 114.107.15.92 run  数据抓取] 商丘批发2016-03-28:114 [3120]
[ 19:11:45 114.107.15.92 run  数据抓取] 淮海2016-03-28:114 [3120]
[ 19:11:47 114.107.15.92 run  数据抓取] 信阳豫信花生2016-03-28:114 [3120]
[ 19:11:47 101.226.66.172 run  数据抓取] 三门峡原店2016-03-28:114 [3120]
[ 19:11:48 114.107.15.92 run  数据抓取] 嘉善浙北2016-03-28:114 [3120]
[ 19:11:48 114.107.15.92 run  数据抓取] 建湖水产2016-03-28:114 [3120]
[ 19:11:50 101.226.66.172 run  数据抓取] 商丘批发2016-03-28:114 [3120]
[ 19:11:50 114.107.15.92 run  数据抓取] 南京众彩物流2016-03-28:114 [3120]
[ 19:11:50 114.107.15.92 run  数据抓取] 嘉兴蔬菜2016-03-28:114 [3120]
[ 19:11:51 114.107.15.92 run  数据抓取] 郑州毛庄2016-03-28:114 [3120]
[ 19:11:52 101.226.66.172 run  数据抓取] 信阳豫信花生2016-03-28:114 [3120]
[ 19:11:53 114.107.15.92 run  数据抓取] 嘉兴水果2016-03-28:114 [3120]
[ 19:11:53 114.107.15.92 run  数据抓取] 苏州南环桥2016-03-28:114 [3120]
[ 19:11:53 114.107.15.92 run  数据抓取] 北安北方商场2016-03-28:114 [3120]
[ 19:11:55 114.107.15.92 run  数据抓取] 大庆九区2016-03-28:114 [3120]
[ 19:11:55 101.226.66.172 run  数据抓取] 郑州毛庄2016-03-28:114 [3120]
[ 19:11:56 114.107.15.92 run  数据抓取] 金华农产品2016-03-28:114 [3120]
[ 19:11:56 114.107.15.92 run  数据抓取] 无锡朝阳2016-03-28:114 [3120]
[ 19:11:58 114.107.15.92 run  数据抓取] 宁波蔬菜2016-03-28:114 [3120]
[ 19:11:58 114.107.15.92 run  数据抓取] 无锡天鹏2016-03-28:114 [3120]
[ 19:11:58 101.226.66.172 run  数据抓取] 北安北方商场2016-03-28:114 [3120]
[ 19:12:00 114.107.15.92 run  数据抓取] 徐州淮海蔬菜2016-03-28:114 [3120]
[ 19:12:00 114.107.15.92 run  数据抓取] 绍兴批发2016-03-28:114 [3120]
[ 19:12:00 101.226.66.172 run  数据抓取] 大庆九区2016-03-28:114 [3120]
[ 19:12:02 114.107.15.92 run  数据抓取] 徐州七里沟2016-03-28:114 [3120]
[ 19:12:02 114.107.15.92 run  数据抓取] 义乌2016-03-28:114 [3120]
[ 19:12:02 101.226.66.172 run  数据抓取] 抚远同鑫2016-03-28:114 [3120]
[ 19:12:04 114.107.15.92 run  数据抓取] 扬州联谊2016-03-28:114 [3120]
[ 19:12:04 114.107.15.92 run  数据抓取] 余姚农副2016-03-28:114 [3120]
[ 19:12:05 114.107.15.92 run  数据抓取] 宜兴2016-03-28:114 [3120]
[ 19:12:06 114.107.15.92 run  数据抓取] 浙西鼎顺蔬菜2016-03-28:114 [3120]
[ 19:12:07 114.107.15.92 run  数据抓取] 抚远同鑫2016-03-28:114 [3120]
[ 19:12:07 114.107.15.92 run  数据抓取] 赣州南北2016-03-28:114 [3120]
[ 19:12:07 114.107.15.92 run  数据抓取] 重庆观音桥2016-03-28:114 [3120]
[ 19:12:09 114.107.15.92 run  数据抓取] 甘南农贸2016-03-28:114 [3120]
[ 19:12:09 114.107.15.92 run  数据抓取] 重庆华牧肉业2016-03-28:114 [3120]
[ 19:12:10 114.107.15.92 run  数据抓取] 乐平2016-03-28:114 [3120]
[ 19:12:11 114.107.15.92 run  数据抓取] 重庆九龙坡太慈2016-03-28:114 [3120]
[ 19:12:11 114.107.15.92 run  数据抓取] 哈尔滨哈达2016-03-28:114 [3120]
[ 19:12:13 114.107.15.92 run  数据抓取] 鹤岗工农批发2016-03-28:114 [3120]
[ 19:12:13 114.107.15.92 run  数据抓取] 重庆南坪正扬大2016-03-28:114 [3120]
[ 19:12:13 101.226.66.172 run  数据抓取] 甘南农贸2016-03-28:114 [3120]
[ 19:12:15 114.107.15.92 run  数据抓取] 重庆新大兴国际批发2016-03-28:114 [3120]
[ 19:12:16 114.107.15.92 run  数据抓取] 重庆永川南大街2016-03-28:114 [3120]
[ 19:12:17 114.107.15.92 run  数据抓取] 重庆渝东水果2016-03-28:114 [3120]
[ 19:12:18 114.107.15.92 run  数据抓取] 重庆渝中西三街2016-03-28:114 [3120]
[ 19:12:18 114.107.15.92 run  数据抓取] access 26448recorde [3120]
[ 19:12:18 114.107.15.92 run  数据抓取] 鹤岗万圃源2016-03-28:114 [3120]
[ 19:12:19 114.107.15.92 run  数据抓取] 呼玛综合2016-03-28:114 [3120]
[ 19:12:20 114.107.15.92 run  数据抓取] 虎林农贸2016-03-28:114 [3120]
[ 19:12:20 114.107.15.92 run  数据抓取] 南昌农产品2016-03-28:114 [3120]
[ 19:12:21 114.107.15.92 run  数据抓取] 南方粮食2016-03-28:114 [3120]
[ 19:12:22 114.107.15.92 run  数据抓取] 鸡东世纪村2016-03-28:114 [3120]
[ 19:12:23 114.107.15.92 run  数据抓取] 永丰2016-03-28:114 [3120]
[ 19:12:24 101.226.66.172 run  数据抓取] 哈尔滨哈达2016-03-28:114 [3120]
[ 19:12:25 114.107.15.92 run  数据抓取] 鞍山宁远2016-03-28:114 [3120]
[ 19:12:25 101.226.66.172 run  数据抓取] 鹤岗工农批发2016-03-28:114 [3120]
[ 19:12:26 114.107.15.92 run  数据抓取] 鸡西南山2016-03-28:114 [3120]
[ 19:12:26 114.107.15.92 run  数据抓取] 朝阳果菜2016-03-28:114 [3120]
[ 19:12:27 101.226.66.172 run  数据抓取] 鹤岗万圃源2016-03-28:114 [3120]
[ 19:12:28 114.107.15.92 run  数据抓取] 佳木斯沿江2016-03-28:114 [3120]
[ 19:12:28 114.107.15.92 run  数据抓取] 大连双兴2016-03-28:114 [3120]
[ 19:12:29 114.107.15.92 run  数据抓取] 阜新蔬菜2016-03-28:114 [3120]
[ 19:12:30 114.107.15.92 run  数据抓取] 萝北中央红大兴超市2016-03-28:114 [3120]
[ 19:12:31 114.107.15.92 run  数据抓取] 漠河北锤2016-03-28:114 [3120]
[ 19:12:31 101.226.66.172 run  数据抓取] 呼玛综合2016-03-28:114 [3120]
[ 19:12:32 101.226.66.172 run  数据抓取] 虎林农贸2016-03-28:114 [3120]
[ 19:12:33 114.107.15.92 run  数据抓取] 七星街2016-03-28:114 [3120]
[ 19:12:34 114.107.15.92 run  数据抓取] 包头友谊2016-03-28:114 [3120]
[ 19:12:34 114.107.15.92 run  数据抓取] 绥化华辰2016-03-28:114 [3120]
[ 19:12:35 101.226.66.172 run  数据抓取] 鸡东世纪村2016-03-28:114 [3120]
[ 19:12:36 114.107.15.92 run  数据抓取] 泰来综合2016-03-28:114 [3120]
[ 19:12:36 101.226.66.172 run  数据抓取] 鸡西南山2016-03-28:114 [3120]
[ 19:12:37 114.107.15.92 run  数据抓取] 赤峰西城2016-03-28:114 [3120]
[ 19:12:38 114.107.15.92 run  数据抓取] 望奎华辰2016-03-28:114 [3120]
[ 19:12:39 114.107.15.92 run  数据抓取] 呼和浩特东瓦窑 2016-03-28:114 [3120]
[ 19:12:39 101.226.66.172 run  数据抓取] 佳木斯沿江2016-03-28:114 [3120]
[ 19:12:40 114.107.15.92 run  数据抓取] 逊克综合大市场2016-03-28:114 [3120]
[ 19:12:41 101.226.66.172 run  数据抓取] 萝北中央红大兴超市2016-03-28:114 [3120]
[ 19:12:41 114.107.15.92 run  数据抓取] 呼和浩特美通2016-03-28:114 [3120]
[ 19:12:42 101.226.66.172 run  数据抓取] 漠河北锤2016-03-28:114 [3120]
[ 19:12:43 114.107.15.92 run  数据抓取] 肇州农贸2016-03-28:114 [3120]
[ 19:12:43 114.107.15.92 run  数据抓取] 吴忠鑫鲜2016-03-28:114 [3120]
[ 19:12:44 114.107.15.92 run  数据抓取] 银川北环2016-03-28:114 [3120]
[ 19:12:45 101.226.66.172 run  数据抓取] 七星街2016-03-28:114 [3120]
[ 19:12:45 114.107.15.92 run  数据抓取] 鄂州蟠龙2016-03-28:114 [3120]
[ 19:12:46 101.226.66.172 run  数据抓取] 绥化华辰2016-03-28:114 [3120]
[ 19:12:47 114.107.15.92 run  数据抓取] 洪湖2016-03-28:114 [3120]
[ 19:12:47 114.107.15.92 run  数据抓取] 中卫东园2016-03-28:114 [3120]
[ 19:12:49 114.107.15.92 run  数据抓取] 西宁仁杰2016-03-28:114 [3120]
[ 19:12:49 114.107.15.92 run  数据抓取] 黄石农产品2016-03-28:114 [3120]
[ 19:12:49 101.226.66.172 run  数据抓取] 泰来综合2016-03-28:114 [3120]
[ 19:12:51 101.226.66.172 run  数据抓取] 望奎华辰2016-03-28:114 [3120]
[ 19:12:51 114.107.15.92 run  数据抓取] 十堰堰中2016-03-28:114 [3120]
[ 19:12:52 114.107.15.92 run  数据抓取] 武汉白沙洲2016-03-28:114 [3120]
[ 19:12:52 101.226.66.172 run  数据抓取] 逊克综合大市场2016-03-28:114 [3120]
[ 19:12:54 114.107.15.92 run  数据抓取] 武汉皇经堂2016-03-28:114 [3120]
[ 19:12:54 114.107.15.92 run  数据抓取] 滨州六街2016-03-28:114 [3120]
[ 19:12:54 101.226.66.172 run  数据抓取] 肇州农贸2016-03-28:114 [3120]
[ 19:12:56 114.107.15.92 run  数据抓取] 苍山鲁南2016-03-28:114 [3120]
[ 19:12:56 114.107.15.92 run  数据抓取] 浠水2016-03-28:114 [3120]
[ 19:12:57 101.226.66.172 run  数据抓取] 鄂州蟠龙2016-03-28:114 [3120]
[ 19:12:58 114.107.15.92 run  数据抓取] 德州黑马2016-03-28:114 [3120]
[ 19:12:58 101.226.66.172 run  数据抓取] 洪湖2016-03-28:114 [3120]
[ 19:12:59 114.107.15.92 run  数据抓取] 襄阳批发2016-03-28:114 [3120]
[ 19:13:00 114.107.15.92 run  数据抓取] 孝感南大2016-03-28:114 [3120]
[ 19:13:00 101.226.66.172 run  数据抓取] 黄石农产品2016-03-28:114 [3120]
[ 19:13:01 114.107.15.92 run  数据抓取] 济南七里堡2016-03-28:114 [3120]
[ 19:13:02 101.226.66.172 run  数据抓取] 十堰堰中2016-03-28:114 [3120]
[ 19:13:03 114.107.15.92 run  数据抓取] 宜昌金桥2016-03-28:114 [3120]
[ 19:13:03 114.107.15.92 run  数据抓取] 临邑2016-03-28:114 [3120]
[ 19:13:04 101.226.66.172 run  数据抓取] 武汉白沙洲2016-03-28:114 [3120]
[ 19:13:05 114.107.15.92 run  数据抓取] 长沙马王堆2016-03-28:114 [3120]
[ 19:13:05 114.107.15.92 run  数据抓取] 宁津2016-03-28:114 [3120]
[ 19:13:06 101.226.66.172 run  数据抓取] 武汉皇经堂2016-03-28:114 [3120]
[ 19:13:07 114.107.15.92 run  数据抓取] 青岛沧口2016-03-28:114 [3120]
[ 19:13:07 114.107.15.92 run  数据抓取] 常德甘露寺2016-03-28:114 [3120]
[ 19:13:08 114.107.15.92 run  数据抓取] 青岛城阳批发2016-03-28:114 [3120]
[ 19:13:09 101.226.66.172 run  数据抓取] 浠水2016-03-28:114 [3120]
[ 19:13:10 101.226.66.172 run  数据抓取] 襄阳批发2016-03-28:114 [3120]
[ 19:13:11 114.107.15.92 run  数据抓取] 青岛东庄头2016-03-28:114 [3120]
[ 19:13:12 101.226.66.172 run  数据抓取] 孝感南大2016-03-28:114 [3120]
[ 19:13:12 114.107.15.92 run  数据抓取] 青岛抚顺路2016-03-28:114 [3120]
[ 19:13:13 114.107.15.92 run  数据抓取] 衡阳西园2016-03-28:114 [3120]
[ 19:13:14 114.107.15.92 run  数据抓取] 青岛黄河路2016-03-28:114 [3120]
[ 19:13:14 101.226.66.172 run  数据抓取] 宜昌金桥2016-03-28:114 [3120]
[ 19:13:15 101.226.66.172 run  数据抓取] 长沙马王堆2016-03-28:114 [3120]
[ 19:13:16 101.226.66.172 run  数据抓取] 常德甘露寺2016-03-28:114 [3120]
[ 19:13:17 114.107.15.92 run  数据抓取] 红星2016-03-28:114 [3120]
[ 19:13:18 101.226.66.172 run  数据抓取] 衡阳西园2016-03-28:114 [3120]
[ 19:13:18 114.107.15.92 run  数据抓取] 吉首2016-03-28:114 [3120]
[ 19:13:19 101.226.66.172 run  数据抓取] 红星2016-03-28:114 [3120]
[ 19:13:19 114.107.15.92 run  数据抓取] 益阳团洲2016-03-28:114 [3120]
[ 19:13:20 114.107.15.92 run  数据抓取] 泰安良庄2016-03-28:114 [3120]
[ 19:13:21 101.226.66.172 run  数据抓取] 吉首2016-03-28:114 [3120]
[ 19:13:21 114.107.15.92 run  数据抓取] 岳阳花板桥2016-03-28:114 [3120]
[ 19:13:22 114.107.15.92 run  数据抓取] 威海水产品2016-03-28:114 [3120]
[ 19:13:23 114.107.15.92 run  数据抓取] 章丘2016-03-28:114 [3120]
[ 19:13:23 114.107.15.92 run  数据抓取] 辽源贸发2016-03-28:114 [3120]
[ 19:13:24 101.226.66.172 run  数据抓取] 益阳团洲2016-03-28:114 [3120]
[ 19:13:25 114.107.15.92 run  数据抓取] 常州2016-03-28:114 [3120]
[ 19:13:26 101.226.66.172 run  数据抓取] 岳阳花板桥2016-03-28:114 [3120]
[ 19:13:26 114.107.15.92 run  数据抓取] 淄博批发2016-03-28:114 [3120]
[ 19:13:27 101.226.66.172 run  数据抓取] 辽源贸发2016-03-28:114 [3120]
[ 19:13:28 114.107.15.92 run  数据抓取] 长治金鑫瓜果2016-03-28:114 [3120]
[ 19:13:29 114.107.15.92 run  数据抓取] 长治紫坊2016-03-28:114 [3120]
[ 19:13:29 101.226.66.172 run  数据抓取] 常州2016-03-28:114 [3120]
[ 19:13:30 101.226.66.172 run  数据抓取] 常州凌家塘2016-03-28:114 [3120]
[ 19:13:31 114.107.15.92 run  数据抓取] 常州凌家塘2016-03-28:114 [3120]
[ 19:13:31 114.107.15.92 run  数据抓取] 大同振华2016-03-28:114 [3120]
[ 19:13:32 114.107.15.92 run  数据抓取] 丰县2016-03-28:114 [3120]
